,Chennai Super Kings,Delhi Capitals,Gujarat Titans,Kolkata Knight Riders,Lucknow Super Giants,Mumbai Indians,Punjab Kings,Rajasthan Royals,Royal Challengers Bangalore,Sunrisers Hyderabad
Chennai Super Kings,50.0,63.424042944476504,56.72712505084492,29.51284643412592,63.59557891359735,44.21388056740273,65.55537183911369,31.87033015886334,68.0501830192595,52.29620490834838
Delhi Capitals,36.575957055523496,50.0,59.72712505084492,28.603755525034998,61.16700748502592,47.07102342454559,63.55537183911368,31.87033015886334,61.41381938289587,50.387113999257465
Gujarat Titans,43.27287494915508,40.27287494915508,50.0,33.512846434125905,61.59557891359735,43.64245199597416,67.93632422006607,33.87033015886334,63.10947155680891,55.29620490834837
Kolkata Knight Riders,70.48715356587408,71.396244474965,66.4871535658741,50.0,63.071769389787825,45.64245199597416,64.55537183911368,35.87033015886334,62.98524795432444,49.29620490834837
Lucknow Super Giants,36.40442108640265,38.83299251497408,38.40442108640265,36.928230610212175,50.0,47.64245199597417,63.55537183911368,35.87033015886334,62.98524795432444,48.29620490834837
Mumbai Indians,55.78611943259727,52.92897657545441,56.35754800402584,54.35754800402584,52.35754800402583,50.0,66.55537183911369,33.87033015886334,65.8423908114673,52.29620490834838
Punjab Kings,34.44462816088632,36.44462816088632,32.06367577993394,35.444628160886325,36.44462816088632,33.44462816088632,50.0,31.87033015886334,63.50472847380496,48.29620490834837
Rajasthan Royals,68.12966984113666,68.12966984113666,66.12966984113666,64.12966984113666,64.12966984113666,66.12966984113666,68.12966984113666,50.0,65.41381938289587,51.29620490834837
Royal Challengers Bangalore,31.949816980740493,38.58618061710413,36.89052844319109,37.01475204567556,37.01475204567556,34.1576091885327,36.49527152619504,34.58618061710413,50.0,51.77239538453885
Sunrisers Hyderabad,47.70379509165162,49.612886000742535,44.70379509165163,50.70379509165163,51.70379509165163,47.70379509165162,51.70379509165163,48.70379509165163,48.22760461546115,50.0
